train_scope,eval_scope,model,eval_rows,target_mean,target_max,baseline_MAE,baseline_RMSE,baseline_R2,MAE,RMSE,R2
2023_2024_전체학습,2025_유입량증가상위5퍼센트,RandomForest,371,31.45563611859838,753.346,16.748733153638813,52.04273547514436,0.5461693940268657,13.546424812262224,42.151791435100236,0.7022816368509857
2023_2024_전체학습,2025_유입량상위5퍼센트,RandomForest,382,58.78225130890052,753.346,22.641628272251307,58.31080895749506,0.42544519102066813,26.70807002021056,57.000645124330084,0.45097404893936743
2023_2024_전체학습,2025_강한강우_그리고_유입량증가상위5퍼센트,RandomForest,202,52.54391089108911,753.346,27.71221782178218,70.43861107607626,0.502513703035907,22.715091650143975,57.05227073790847,0.6736336127859801
2023_2024_전체학습,2025_전체,ExtraTrees,7778,5.988195808691181,753.346,2.309639110311134,13.049611575390973,0.6175470640024252,2.5254948381217632,13.001639745647314,0.6203537750335709
2023_2024_전체학습,2025_강우일,ExtraTrees,2190,13.388744292237444,753.346,5.304164383561643,24.460923637302706,0.5934207301004468,6.613987306914546,24.421935493951093,0.5947157864985217
2023_2024_전체학습,2025_강한강우,ExtraTrees,1334,19.220437781109442,753.346,7.728508995502249,31.27960608593568,0.5747186991778804,10.065002170364819,31.244764298468752,0.575665597815273
2023_2024_전체학습,2025_장마철,ExtraTrees,2655,10.886660263653484,753.346,4.18823352165725,22.121684770332617,0.5974117373363292,5.024900587720121,21.736295335508263,0.6113168061036556
2023_2024_전체학습,2025_유입량증가상위5퍼센트,ExtraTrees,371,31.45563611859838,753.346,16.748733153638813,52.04273547514436,0.5461693940268657,13.827472605801566,44.02605891523106,0.675217089013647
2023_2024_전체학습,2025_유입량상위5퍼센트,ExtraTrees,382,58.78225130890052,753.346,22.641628272251307,58.31080895749506,0.42544519102066813,29.267955090226874,57.85188503191275,0.4344534467428547
2023_2024_전체학습,2025_강한강우_그리고_유입량증가상위5퍼센트,ExtraTrees,202,52.54391089108911,753.346,27.71221782178218,70.43861107607626,0.502513703035907,23.24508251452145,59.597117006912335,0.6438687715077416
2023_2024_전체학습,2025_전체,GradientBoosting,7778,5.988195808691181,753.346,2.309639110311134,13.049611575390973,0.6175470640024252,2.30043032955187,12.88760102209568,0.6269844004074132
2023_2024_전체학습,2025_강우일,GradientBoosting,2190,13.388744292237444,753.346,5.304164383561643,24.460923637302706,0.5934207301004468,5.5927128665580055,24.012217846092298,0.6082003195216236
2023_2024_전체학습,2025_강한강우,GradientBoosting,1334,19.220437781109442,753.346,7.728508995502249,31.27960608593568,0.5747186991778804,8.399131949037578,30.733245982176047,0.5894457037534448
