feature_set,model,eval_scope,train_rows,test_rows,target_mean,target_max,baseline_MAE,baseline_RMSE,baseline_R2,MAE,RMSE,R2
기본피처_예측유입량추가,XGBoost,2025_강우일,14550,2366,6.668643702451395,146.316,0.4564150464919696,2.9200289589110446,0.9387942665226207,1.8806341287237252,5.188101030860942,0.8067877583206067
기본피처_예측유입량추가,XGBoost,2025_강한강우,14550,1415,8.294612720848056,146.316,0.614216961130742,3.7444009860282876,0.9361248856417062,2.5583752411562646,6.530381386897787,0.8057128488985843
기본피처_예측유입량추가,XGBoost,2025_유입량증가상위5퍼센트,14550,418,6.885842105263158,47.57,0.36182775119617233,1.5231714239056848,0.9692969647576741,1.9620786348279011,4.9727161176141665,0.6727564628437313
기본피처_예측유입량추가,XGBoost,2025_방류량상위5퍼센트,14550,520,25.735315384615387,146.316,1.388942307692308,5.898556420202123,0.9048914958039201,5.736024571950619,9.339447848617663,0.7615648504529129
기본피처_실제미래유입량참고용,GradientBoosting,2025_전체,17464,8735,5.017290326273613,146.316,0.2974737263880939,1.6659515110610632,0.9434489773767772,1.300683799447935,5.947150930936034,0.27933460225019924
기본피처_실제미래유입량참고용,GradientBoosting,2025_강우일,17464,2366,6.668643702451395,146.316,0.4564150464919696,2.9200289589110446,0.9387942665226207,2.727832404645139,9.079871380745049,0.4081969718133439
기본피처_실제미래유입량참고용,GradientBoosting,2025_강한강우,17464,1415,8.294612720848056,146.316,0.614216961130742,3.7444009860282876,0.9361248856417062,4.109477911687612,11.385165405875965,0.4094649521007999
기본피처_실제미래유입량참고용,GradientBoosting,2025_유입량증가상위5퍼센트,17464,418,6.885842105263158,47.57,0.36182775119617233,1.5231714239056848,0.9692969647576741,3.381462304093347,9.651978864939887,-0.2328676838202448
기본피처_실제미래유입량참고용,GradientBoosting,2025_방류량상위5퍼센트,17464,520,25.735315384615387,146.316,1.388942307692308,5.898556420202123,0.9048914958039201,15.078804303487107,22.805576350367595,-0.42170660299393736
기본피처_실제미래유입량참고용,RandomForest,2025_전체,17464,8735,5.017290326273613,146.316,0.2974737263880939,1.6659515110610632,0.9434489773767772,0.6836276712772934,2.562436446455698,0.8662105233383303
기본피처_실제미래유입량참고용,RandomForest,2025_강우일,17464,2366,6.668643702451395,146.316,0.4564150464919696,2.9200289589110446,0.9387942665226207,1.448234250692494,4.610806775921053,0.847393990820644
기본피처_실제미래유입량참고용,RandomForest,2025_강한강우,17464,1415,8.294612720848056,146.316,0.614216961130742,3.7444009860282876,0.9361248856417062,2.1292325371562253,5.900058873247029,0.841408583084882
기본피처_실제미래유입량참고용,RandomForest,2025_유입량증가상위5퍼센트,17464,418,6.885842105263158,47.57,0.36182775119617233,1.5231714239056848,0.9692969647576741,1.3579335260044432,3.6294812002752384,0.8256697123186353
기본피처_실제미래유입량참고용,RandomForest,2025_방류량상위5퍼센트,17464,520,25.735315384615387,146.316,1.388942307692308,5.898556420202123,0.9048914958039201,4.130957147386757,8.686305568475444,0.7937480412276063
기본피처_실제미래유입량참고용,XGBoost,2025_전체,17464,8735,5.017290326273613,146.316,0.2974737263880939,1.6659515110610632,0.9434489773767772,1.16256934718114,4.253333609692732,0.6313836070716095
기본피처_실제미래유입량참고용,XGBoost,2025_강우일,17464,2366,6.668643702451395,146.316,0.4564150464919696,2.9200289589110446,0.9387942665226207,2.6637277432197446,7.565430961237954,0.5891482561508579
기본피처_실제미래유입량참고용,XGBoost,2025_강한강우,17464,1415,8.294612720848056,146.316,0.614216961130742,3.7444009860282876,0.9361248856417062,3.9618647400791986,9.616765369400946,0.5786674330595072
기본피처_실제미래유입량참고용,XGBoost,2025_유입량증가상위5퍼센트,17464,418,6.885842105263158,47.57,0.36182775119617233,1.5231714239056848,0.9692969647576741,2.558071551879627,5.649122403347601,0.5776760466867673
기본피처_실제미래유입량참고용,XGBoost,2025_방류량상위5퍼센트,17464,520,25.735315384615387,146.316,1.388942307692308,5.898556420202123,0.9048914958039201,8.36550308385262,13.911681534673148,0.4709616803332901
