obsrdt,dam_code,inflowqy,target_inflow_3h,pred_inflow_HistGradientBoosting
2025-03-30 12:00:00,2015110,3.806,1.889,5.132225059985643
2025-03-30 13:00:00,2015110,0.0,10.917,4.857204278282299
2025-03-30 14:00:00,2015110,11.389,0.0,6.840627204302494
2025-03-30 15:00:00,2015110,1.889,10.394,8.269465365365718
2025-03-30 16:00:00,2015110,10.917,0.0,6.476539348317711
2025-03-30 17:00:00,2015110,0.0,3.316,6.207179783069635
2025-03-30 18:00:00,2015110,10.394,2.361,5.193106384549845
2025-03-30 19:00:00,2015110,0.0,4.278,6.207179783069635
2025-03-30 20:00:00,2015110,3.316,2.861,6.823957393037903
2025-03-30 21:00:00,2015110,2.361,9.472,5.008778971032938
2025-03-30 22:00:00,2015110,4.278,0.0,6.342763434874816
2025-03-30 23:00:00,2015110,2.861,4.278,4.571796526169462
2025-03-31 00:00:00,2015110,9.472,4.75,6.624265145890516
2025-03-31 01:00:00,2015110,0.0,5.222,4.985436689583026
2025-03-31 02:00:00,2015110,4.278,1.889,4.695242615122167
2025-03-31 03:00:00,2015110,4.75,7.583,5.402040642134555
2025-03-31 04:00:00,2015110,5.222,2.861,5.50698308670876
2025-03-31 05:00:00,2015110,1.889,4.75,4.985436689583026
2025-03-31 06:00:00,2015110,7.583,16.691,6.073447376283234
2025-03-31 07:00:00,2015110,2.861,0.0,5.270844441695863
2025-03-31 08:00:00,2015110,4.75,4.931,4.976744326137867
2025-03-31 09:00:00,2015110,16.691,0.0,7.422694424135229
2025-03-31 10:00:00,2015110,0.0,2.861,7.354887740752888
2025-03-31 11:00:00,2015110,4.931,2.648,4.717951036979962
2025-03-31 12:00:00,2015110,0.0,7.293,6.242391842928518
2025-03-31 13:00:00,2015110,2.861,0.0,4.324689365878346
2025-03-31 14:00:00,2015110,2.648,6.163,5.560578389606985
2025-03-31 15:00:00,2015110,7.293,0.944,7.347727627273307
2025-03-31 16:00:00,2015110,0.0,2.389,4.985436689583026
2025-03-31 17:00:00,2015110,6.163,7.111,5.537923745461978
2025-03-31 18:00:00,2015110,0.944,3.306,5.270844441695863
2025-03-31 19:00:00,2015110,2.389,4.75,4.324689365878346
2025-03-31 20:00:00,2015110,7.111,7.583,5.0033587890927995
2025-03-31 21:00:00,2015110,3.306,4.722,5.805409398065041
2025-03-31 22:00:00,2015110,4.75,1.917,4.9650581972710786
2025-03-31 23:00:00,2015110,7.583,4.25,6.484078821279495
2025-04-01 00:00:00,2015110,4.722,3.333,5.378698360684643
2025-04-01 01:00:00,2015110,1.917,4.722,4.985436689583026
2025-04-01 02:00:00,2015110,4.25,4.75,5.672338349692902
2025-04-01 03:00:00,2015110,3.333,4.75,4.700081252193579
2025-04-01 04:00:00,2015110,4.722,3.778,5.785030905753094
2025-04-01 05:00:00,2015110,4.75,10.444,6.198671069166658
2025-04-01 06:00:00,2015110,4.75,0.0,6.198671069166658
2025-04-01 07:00:00,2015110,3.778,13.551,5.22770521280273
2025-04-01 08:00:00,2015110,10.444,6.92,5.440213544840961
2025-04-01 09:00:00,2015110,0.0,0.0,5.898482064230276
2025-04-01 10:00:00,2015110,13.551,0.944,6.476539348317711
2025-04-01 11:00:00,2015110,6.92,8.556,7.420414162653267
2025-04-01 12:00:00,2015110,0.0,8.31,5.805409398065041
2025-04-01 13:00:00,2015110,0.944,2.578,4.889956536765939
2025-04-01 14:00:00,2015110,8.556,3.948,6.779164334869566
2025-04-01 15:00:00,2015110,8.31,1.75,5.378698360684643
2025-04-01 16:00:00,2015110,2.578,0.0,7.484704716742583
2025-04-01 17:00:00,2015110,3.948,0.0,5.954421605577329
2025-04-01 18:00:00,2015110,1.75,6.611,5.008778971032938
2025-04-01 19:00:00,2015110,0.0,5.694,4.324689365878346
2025-04-01 20:00:00,2015110,0.0,2.833,5.144662074360361
2025-04-01 21:00:00,2015110,6.611,7.583,5.537923745461978
2025-04-01 22:00:00,2015110,5.694,6.639,5.378698360684643
2025-04-01 23:00:00,2015110,2.833,4.722,5.113721415607143
2025-04-02 00:00:00,2015110,7.583,1.917,5.133867352226587
2025-04-02 01:00:00,2015110,6.639,2.833,5.66410611279748
2025-04-02 02:00:00,2015110,4.722,4.722,5.378698360684643
2025-04-02 03:00:00,2015110,1.917,4.75,6.0908171501778785
2025-04-02 04:00:00,2015110,2.833,0.0,5.430069826473198
2025-04-02 05:00:00,2015110,4.722,1.889,4.84845960011375
2025-04-02 06:00:00,2015110,4.75,2.861,6.198671069166658
2025-04-02 07:00:00,2015110,0.0,20.322,5.805409398065041
2025-04-02 08:00:00,2015110,1.889,0.0,5.144662074360361
2025-04-02 09:00:00,2015110,2.861,0.0,4.324689365878346
2025-04-02 10:00:00,2015110,20.322,0.0,5.787075202969484
2025-04-02 11:00:00,2015110,0.0,7.111,7.946632722062854
2025-04-02 12:00:00,2015110,0.0,8.528,5.144662074360361
2025-04-02 13:00:00,2015110,0.0,0.0,4.761671810741822
2025-04-02 14:00:00,2015110,7.111,9.014,4.717951036979962
2025-04-02 15:00:00,2015110,8.528,9.997,5.378698360684643
2025-04-02 16:00:00,2015110,0.0,0.0,8.247156720364117
2025-04-02 17:00:00,2015110,9.014,7.009,5.0033587890927995
2025-04-02 18:00:00,2015110,9.997,5.694,6.162551427093884
2025-04-02 19:00:00,2015110,0.0,1.889,5.24149025312165
2025-04-02 20:00:00,2015110,7.009,3.306,5.974906190325454
2025-04-02 21:00:00,2015110,5.694,9.0,6.6356535140301345
2025-04-02 22:00:00,2015110,1.889,0.0,4.985436689583026
2025-04-02 23:00:00,2015110,3.306,4.722,5.965593457294454
2025-04-03 00:00:00,2015110,9.0,5.222,7.026271495160682
2025-04-03 01:00:00,2015110,0.0,4.25,4.985436689583026
2025-04-03 02:00:00,2015110,4.722,1.889,5.537923745461978
2025-04-03 03:00:00,2015110,5.222,5.194,6.6356535140301345
2025-04-03 04:00:00,2015110,4.25,5.694,5.22770521280273
2025-04-03 05:00:00,2015110,1.889,1.417,4.700081252193579
2025-04-03 06:00:00,2015110,5.194,13.844,6.358855128396071
2025-04-03 07:00:00,2015110,5.694,6.566,5.378698360684643
2025-04-03 08:00:00,2015110,1.417,4.071,5.805409398065041
2025-04-03 09:00:00,2015110,13.844,0.0,6.17020211912058
2025-04-03 10:00:00,2015110,6.566,0.0,6.57715148744473
2025-04-03 11:00:00,2015110,4.071,6.139,5.819450194112699
2025-04-03 12:00:00,2015110,0.0,4.278,5.828751679514953
2025-04-03 13:00:00,2015110,0.0,1.844,5.430069826473198
2025-04-03 14:00:00,2015110,6.139,13.08,4.717951036979962
2025-04-03 15:00:00,2015110,4.278,0.0,7.7269732399622875
2025-04-03 16:00:00,2015110,1.844,5.944,5.391769234651477
2025-04-03 17:00:00,2015110,13.08,0.0,5.478514136662682
2025-04-03 18:00:00,2015110,0.0,6.139,5.770197338206159
2025-04-03 19:00:00,2015110,5.944,5.694,4.717951036979962
2025-04-03 20:00:00,2015110,0.0,4.25,6.242391842928518
2025-04-03 21:00:00,2015110,6.139,6.611,4.8462357630040795
2025-04-03 22:00:00,2015110,5.694,6.139,5.66410611279748
2025-04-03 23:00:00,2015110,4.25,0.944,7.7269732399622875
2025-04-04 00:00:00,2015110,6.611,4.75,5.250465949383916
2025-04-04 01:00:00,2015110,6.139,0.0,6.484078821279495
2025-04-04 02:00:00,2015110,0.944,3.306,4.985436689583026
2025-04-04 03:00:00,2015110,4.75,1.417,5.823331497574815
2025-04-04 04:00:00,2015110,0.0,4.722,6.0908171501778785
2025-04-04 05:00:00,2015110,3.306,4.722,4.452974091902463
2025-04-04 06:00:00,2015110,1.417,15.407,5.391769234651477
2025-04-04 07:00:00,2015110,4.722,4.696,5.537923745461978
2025-04-04 08:00:00,2015110,4.722,5.922,5.378698360684643
2025-04-04 09:00:00,2015110,15.407,0.0,7.137286672022392
2025-04-04 10:00:00,2015110,4.696,5.194,6.755203990617744
2025-04-04 11:00:00,2015110,5.922,0.0,6.098728068018729
2025-04-04 12:00:00,2015110,0.0,5.667,5.4224191344465025
2025-04-04 13:00:00,2015110,5.194,1.889,5.537923745461978
2025-04-04 14:00:00,2015110,0.0,14.33,6.0908171501778785
2025-04-04 15:00:00,2015110,5.667,0.0,7.2172190641395195
2025-04-04 16:00:00,2015110,1.889,0.0,6.0908171501778785
2025-04-04 17:00:00,2015110,14.33,2.361,5.884794367007743
2025-04-04 18:00:00,2015110,0.0,8.972,6.055605090318996
2025-04-04 19:00:00,2015110,0.0,4.722,5.144662074360361
2025-04-04 20:00:00,2015110,2.361,3.306,4.761671810741822
2025-04-04 21:00:00,2015110,8.972,4.25,5.537923745461978
2025-04-04 22:00:00,2015110,4.722,1.417,5.378698360684643
2025-04-04 23:00:00,2015110,3.306,2.361,7.484704716742583
2025-04-05 00:00:00,2015110,4.25,3.778,5.251047494252642
2025-04-05 01:00:00,2015110,1.417,8.028,4.571796526169462
2025-04-05 02:00:00,2015110,2.361,3.778,4.324689365878346
2025-04-05 03:00:00,2015110,3.778,1.417,5.386930597580065
2025-04-05 04:00:00,2015110,8.028,9.444,6.554810268313924
2025-04-05 05:00:00,2015110,3.778,0.726,5.583108103608022
2025-04-05 06:00:00,2015110,1.417,8.796,4.927199416974753
2025-04-05 07:00:00,2015110,9.444,2.743,5.39255700876574
2025-04-05 08:00:00,2015110,0.726,1.031,5.212554854364201
2025-04-05 09:00:00,2015110,8.796,0.0,5.073353927785254
2025-04-05 10:00:00,2015110,2.743,8.5,7.696644164253225
2025-04-05 11:00:00,2015110,1.031,13.222,4.58348265503625
2025-04-05 12:00:00,2015110,0.0,9.889,4.761671810741822
2025-04-05 13:00:00,2015110,8.5,1.417,6.073447376283234
2025-04-05 14:00:00,2015110,13.222,8.044,5.725568982230408
2025-04-05 15:00:00,2015110,9.889,3.789,8.435138240513515
2025-04-05 16:00:00,2015110,1.417,0.0,6.2702176792950945
2025-04-05 17:00:00,2015110,8.044,4.722,5.737646866390135
2025-04-05 18:00:00,2015110,3.789,5.667,6.247401042212903
2025-04-05 19:00:00,2015110,0.0,1.417,5.391769234651477
2025-04-05 20:00:00,2015110,4.722,0.0,7.502626816252357
2025-04-05 21:00:00,2015110,5.667,12.25,7.154503906461409
2025-04-05 22:00:00,2015110,1.417,6.139,4.985436689583026
2025-04-05 23:00:00,2015110,0.0,0.0,5.144662074360361
2025-04-06 00:00:00,2015110,12.25,10.389,5.478514136662682
2025-04-06 01:00:00,2015110,6.139,0.0,6.1634590093077755
2025-04-06 02:00:00,2015110,0.0,10.861,5.805409398065041
2025-04-06 03:00:00,2015110,10.389,6.583,6.321776811871219
2025-04-06 04:00:00,2015110,0.0,0.0,6.055605090318996
2025-04-06 05:00:00,2015110,10.861,11.564,5.0648216585257275
2025-04-06 06:00:00,2015110,6.583,7.865,9.09970948133081
2025-04-06 07:00:00,2015110,0.0,6.773,5.805409398065041
2025-04-06 08:00:00,2015110,11.564,3.916,5.501804103389204
2025-04-06 09:00:00,2015110,7.865,0.0,8.224672307197384
2025-04-06 10:00:00,2015110,6.773,7.556,6.553156726541308
2025-04-06 11:00:00,2015110,3.916,6.139,7.440493203442973
2025-04-06 12:00:00,2015110,0.0,1.389,5.677176986764314
2025-04-06 13:00:00,2015110,7.556,0.0,5.0033587890927995
2025-04-06 14:00:00,2015110,6.139,10.887,7.8779663878442
2025-04-06 15:00:00,2015110,1.389,17.272,5.805409398065041
2025-04-06 16:00:00,2015110,0.0,0.0,5.430069826473198
2025-04-06 17:00:00,2015110,10.887,5.204,5.478514136662682
2025-04-06 18:00:00,2015110,17.272,3.778,7.684787996710209
2025-04-06 19:00:00,2015110,0.0,4.694,7.946632722062854
2025-04-06 20:00:00,2015110,5.204,2.361,5.974906190325454
2025-04-06 21:00:00,2015110,3.778,4.722,5.664687657666207
2025-04-06 22:00:00,2015110,4.694,6.583,5.547771581817775
2025-04-06 23:00:00,2015110,2.361,6.611,7.046649987472629
2025-04-07 00:00:00,2015110,4.722,3.306,7.979671067761046
2025-04-07 01:00:00,2015110,6.583,4.694,5.378698360684643
2025-04-07 02:00:00,2015110,6.611,5.194,6.198671069166658
2025-04-07 03:00:00,2015110,3.306,5.667,5.113721415607143
