댐코드,댐이름,유입량성능등급,입력변수세트,방류량모델,유입량예측모델,학습행수,평가행수,전체_기준선_MAE,전체_모델_MAE,전체_개선율(%),전체_모델_R2
2002110,임하댐,양호,예측유입량포함,GradientBoosting,GradientBoosting,17303,8760,9.903031392694063,9.822088616546406,0.8173535247739595,0.06913115166011252
2002110,임하댐,양호,예측유입량포함,RandomForest,GradientBoosting,17303,8760,9.903031392694063,10.47729006182053,-5.798817012234502,-0.01258377826452639
2002110,임하댐,양호,예측유입량포함,XGBoost,GradientBoosting,17303,8760,9.903031392694063,9.726680406014667,1.7807778213194176,0.15093341940582183
2002111,성덕댐,양호,기본변수,GradientBoosting,RandomForest,17447,8760,0.005974429223744293,0.06349826866674527,-962.8340597689707,-1.0875155369987435
2002111,성덕댐,양호,기본변수,RandomForest,RandomForest,17447,8760,0.005974429223744293,0.12520870397550193,-1995.7433636987864,-4.396680949898362
2002111,성덕댐,양호,기본변수,XGBoost,RandomForest,17447,8760,0.005974429223744293,0.10260534147511331,-1617.4082683468218,-1.5831400438128451
2002111,성덕댐,양호,예측유입량포함,GradientBoosting,RandomForest,17447,8760,0.005974429223744293,0.063960496737821,-970.5708335052583,-0.8100274994107579
2002111,성덕댐,양호,예측유입량포함,RandomForest,RandomForest,17447,8760,0.005974429223744293,0.10124995220741335,-1594.721761955329,-1.6206204488593232
2002111,성덕댐,양호,예측유입량포함,XGBoost,RandomForest,17447,8760,0.005974429223744293,0.08687834659343982,-1354.1698184013542,-0.594776201595453
2004101,영주댐,양호,기본변수,GradientBoosting,XGBoost,17436,8760,0.1070208904109589,0.31811772425856605,-197.24825035280298,0.9196558347185118
2004101,영주댐,양호,기본변수,RandomForest,XGBoost,17436,8760,0.1070208904109589,1.206388746928433,-1027.2460379426066,0.6937292097289949
2004101,영주댐,양호,기본변수,XGBoost,XGBoost,17436,8760,0.1070208904109589,0.37508866470066926,-250.48172675477974,0.910197411384967
2004101,영주댐,양호,예측유입량포함,GradientBoosting,XGBoost,17436,8760,0.1070208904109589,0.31469489546002893,-194.0499693579491,0.9307001263329422
2004101,영주댐,양호,예측유입량포함,RandomForest,XGBoost,17436,8760,0.1070208904109589,1.2311975541235083,-1050.427313205604,0.6814167005065539
2004101,영주댐,양호,예측유입량포함,XGBoost,XGBoost,17436,8760,0.1070208904109589,0.3786225931679822,-253.7838189479419,0.9013285182716113
2008101,군위댐,양호,기본변수,GradientBoosting,RandomForest,17472,8760,0.016984703196347033,0.061497088444054375,-262.073377044827,0.7407356452191032
2008101,군위댐,양호,기본변수,RandomForest,RandomForest,17472,8760,0.016984703196347033,0.07892694584766455,-364.6942895336533,0.6524574761175654
2008101,군위댐,양호,기본변수,XGBoost,RandomForest,17472,8760,0.016984703196347033,0.04422161779232222,-160.36143982682688,0.8241200067673702
2008101,군위댐,양호,예측유입량포함,GradientBoosting,RandomForest,17472,8760,0.016984703196347033,0.06557013472859868,-286.05405093390806,0.6861047404811462
2008101,군위댐,양호,예측유입량포함,RandomForest,RandomForest,17472,8760,0.016984703196347033,0.07936025733698703,-367.24547623567156,0.5857747450318338
2008101,군위댐,양호,예측유입량포함,XGBoost,RandomForest,17472,8760,0.016984703196347033,0.042778876284867116,-151.8670817519363,0.8245036084065714
2012101,보현산댐,부진,기본변수,GradientBoosting,RandomForest,17472,8760,0.0019863013698630124,0.010821671739475068,-444.8151979184003,-60.13533388455768
2012101,보현산댐,부진,기본변수,RandomForest,RandomForest,17472,8760,0.0019863013698630124,0.010069305591630582,-406.937453923471,-3.2708215377344647
2012101,보현산댐,부진,기본변수,XGBoost,RandomForest,17472,8760,0.0019863013698630124,0.011324165008111627,-470.11313489113735,-7.339525271013713
2012101,보현산댐,부진,예측유입량포함,GradientBoosting,RandomForest,17472,8760,0.0019863013698630124,0.009338876516223482,-370.164128058148,-22.039512941761757
2012101,보현산댐,부진,예측유입량포함,RandomForest,RandomForest,17472,8760,0.0019863013698630124,0.015040826168238142,-657.2278001940587,-34.97634995556562
2012101,보현산댐,부진,예측유입량포함,XGBoost,RandomForest,17472,8760,0.0019863013698630124,0.011554140674523566,-481.6912201656696,-6.154283323261688
2015110,합천댐,우수,기본변수,GradientBoosting,RandomForest,17381,8695,19.741426106958023,13.244338604005765,32.910932917163,0.5001734996789131
2015110,합천댐,우수,기본변수,RandomForest,RandomForest,17381,8695,19.741426106958023,13.334277074981392,32.4553504760144,0.18878316281774865
2015110,합천댐,우수,기본변수,XGBoost,RandomForest,17381,8695,19.741426106958023,13.143135292349033,33.42357729811308,0.5241099754514666
2015110,합천댐,우수,예측유입량포함,GradientBoosting,RandomForest,17381,8695,19.741426106958023,13.051077640507282,33.88989442911966,0.5103312026898257
2015110,합천댐,우수,예측유입량포함,RandomForest,RandomForest,17381,8695,19.741426106958023,13.118153241021155,33.550123633684414,0.25217887390091864
2015110,합천댐,우수,예측유입량포함,XGBoost,RandomForest,17381,8695,19.741426106958023,13.10137261274974,33.6351257413361,0.5242139556578027
2018110,남강댐,우수,기본변수,GradientBoosting,GradientBoosting,16983,8578,11.033608650034973,12.284229637531663,-11.334650585896268,0.8973786940961641
2018110,남강댐,우수,기본변수,RandomForest,GradientBoosting,16983,8578,11.033608650034973,12.881647912639982,-16.749182622125648,0.8392740960548091
