댐코드,댐이름,예측대상,모델,학습행수,평가행수,평가기간_시작,평가기간_끝,실제평균,실제최대,기준선_MAE,기준선_RMSE,기준선_R2,모델_MAE,모델_RMSE,모델_R2,MAE_개선율(%)
2008101,군위댐,3시간 뒤 유입량,GradientBoosting,17472,8760,2025-01-01,2025-12-31 23:00:00,1.3201866438356162,253.444,0.7901446347031964,4.679073960124489,0.47365530429090663,0.7459269568081595,4.420595147756586,0.5302011860378035,5.596149863328063
2008101,군위댐,3시간 뒤 유입량,RandomForest,17472,8760,2025-01-01,2025-12-31 23:00:00,1.3201866438356162,253.444,0.7901446347031964,4.679073960124489,0.47365530429090663,0.6820545305215341,4.10416150504048,0.5950519463315753,13.67978714710433
2012101,보현산댐,3시간 뒤 유입량,GradientBoosting,17472,8760,2025-01-01,2025-12-31 23:00:00,0.642390410958904,65.662,0.299403196347032,1.3119200553032375,0.6078343934177113,0.9722914069076011,18.13876122722521,-73.96697869559051,-224.7431619870345
2012101,보현산댐,3시간 뒤 유입량,RandomForest,17472,8760,2025-01-01,2025-12-31 23:00:00,0.642390410958904,65.662,0.299403196347032,1.3119200553032375,0.6078343934177113,0.6245072986967404,8.253091487696793,-14.519870006073475,-108.58404529953214
2015110,합천댐,3시간 뒤 유입량,GradientBoosting,17381,8695,2025-01-01,2025-12-31 23:00:00,16.153831397354804,917.528,6.368466935020127,18.4407624164902,0.7503820069543103,5.668163127621446,17.67170044614546,0.770768221311077,10.9964268409359
2015110,합천댐,3시간 뒤 유입량,RandomForest,17381,8695,2025-01-01,2025-12-31 23:00:00,16.153831397354804,917.528,6.368466935020127,18.4407624164902,0.7503820069543103,5.414002467904978,17.94579780542789,0.7636020628865684,14.987350595581486
2018110,남강댐,3시간 뒤 유입량,GradientBoosting,17050,8596,2025-01-01,2025-12-31 23:00:00,42.184485225686366,921.332,23.043660539785947,34.56452583217738,0.6570305981895774,14.73125435900661,25.43154398275224,0.8143309034466554,36.07242072685277
2018110,남강댐,3시간 뒤 유입량,RandomForest,17050,8596,2025-01-01,2025-12-31 23:00:00,42.184485225686366,921.332,23.043660539785947,34.56452583217738,0.6570305981895774,14.812430027481868,25.740361503356258,0.8097943326792615,35.720151744522006
2021110,밀양댐,3시간 뒤 유입량,GradientBoosting,17472,8760,2025-01-01,2025-12-31 23:00:00,2.809879109589041,328.956,1.7645307077625574,6.351617409311537,0.6353815346818319,1.7045008300082636,6.994483275656084,0.5578381485064947,3.402030777373792
2021110,밀양댐,3시간 뒤 유입량,RandomForest,17472,8760,2025-01-01,2025-12-31 23:00:00,2.809879109589041,328.956,1.7645307077625574,6.351617409311537,0.6353815346818319,1.7598330828346247,7.304009649064549,0.5178383390916392,0.2662251729180345
