댐코드,댐이름,입력변수세트,방류량모델,유입량예측모델,평가구간,평가건수,기준선,기준선_MAE,모델_MAE,개선율(%)
1003110,충주댐,예측유입량포함,RandomForest,XGBoost,최근24시간누적강우,2531,최근6시간평균,23.612258659291456,48.44047264399656,-105.1496781521795
1003110,충주댐,예측유입량포함,RandomForest,XGBoost,최근24시간누적강우,2531,최근3시간변화량반영,34.73378901619913,48.44047264399656,-39.46210308758686
1003110,충주댐,예측유입량포함,RandomForest,XGBoost,유입량급증,1056,현재방류량유지,21.704412878787878,36.64964159276614,-68.85801886207439
1003110,충주댐,예측유입량포함,RandomForest,XGBoost,유입량급증,1056,최근3시간평균,22.4352398989899,36.64964159276614,-63.35747581828271
1003110,충주댐,예측유입량포함,RandomForest,XGBoost,유입량급증,1056,최근6시간평균,24.244839015151513,36.64964159276614,-51.16471414746206
1003110,충주댐,예측유입량포함,RandomForest,XGBoost,유입량급증,1056,최근3시간변화량반영,31.20103219696969,36.64964159276614,-17.462913923487523
1003110,충주댐,예측유입량포함,RandomForest,XGBoost,방류량변화,828,현재방류량유지,232.67039855072463,121.11849803412315,47.94417390929168
1003110,충주댐,예측유입량포함,RandomForest,XGBoost,방류량변화,828,최근3시간평균,156.95485909822864,121.11849803412315,22.83227245718953
1003110,충주댐,예측유입량포함,RandomForest,XGBoost,방류량변화,828,최근6시간평균,140.12335144927536,121.11849803412315,13.562945232602411
1003110,충주댐,예측유입량포함,RandomForest,XGBoost,방류량변화,828,최근3시간변화량반영,344.5727415458937,121.11849803412315,64.84965772662798
1003110,충주댐,예측유입량포함,XGBoost,XGBoost,전체,8760,현재방류량유지,22.13576484018265,25.299966888878444,-14.294523236675685
1003110,충주댐,예측유입량포함,XGBoost,XGBoost,전체,8760,최근3시간평균,21.763304414003045,25.299966888878444,-16.25057669367444
1003110,충주댐,예측유입량포함,XGBoost,XGBoost,전체,8760,최근6시간평균,22.06709817351598,25.299966888878444,-14.65017597666022
1003110,충주댐,예측유입량포함,XGBoost,XGBoost,전체,8760,최근3시간변화량반영,33.112062785388126,25.299966888878444,23.592900107561547
1003110,충주댐,예측유입량포함,XGBoost,XGBoost,강우발생,653,현재방류량유지,21.584395099540583,55.31926282707436,-156.29285681604216
1003110,충주댐,예측유입량포함,XGBoost,XGBoost,강우발생,653,최근3시간평균,21.85280245022971,55.31926282707436,-153.14493622987408
1003110,충주댐,예측유입량포함,XGBoost,XGBoost,강우발생,653,최근6시간평균,22.00339203675345,55.31926282707436,-151.41243102277878
1003110,충주댐,예측유입량포함,XGBoost,XGBoost,강우발생,653,최근3시간변화량반영,32.02872894333844,55.31926282707436,-72.71763398709597
1003110,충주댐,예측유입량포함,XGBoost,XGBoost,최근24시간누적강우,2531,현재방류량유지,22.924440932437772,34.69063368738899,-51.32597470807767
1003110,충주댐,예측유입량포함,XGBoost,XGBoost,최근24시간누적강우,2531,최근3시간평균,23.19655603845647,34.69063368738899,-49.55079378972047
1003110,충주댐,예측유입량포함,XGBoost,XGBoost,최근24시간누적강우,2531,최근6시간평균,23.612258659291456,34.69063368738899,-46.91789628409045
1003110,충주댐,예측유입량포함,XGBoost,XGBoost,최근24시간누적강우,2531,최근3시간변화량반영,34.73378901619913,34.69063368738899,0.1242459577042323
1003110,충주댐,예측유입량포함,XGBoost,XGBoost,유입량급증,1056,현재방류량유지,21.704412878787878,29.872380176854854,-37.63274935692769
1003110,충주댐,예측유입량포함,XGBoost,XGBoost,유입량급증,1056,최근3시간평균,22.4352398989899,29.872380176854854,-33.14936818749951
1003110,충주댐,예측유입량포함,XGBoost,XGBoost,유입량급증,1056,최근6시간평균,24.244839015151513,29.872380176854854,-23.211295229415544
1003110,충주댐,예측유입량포함,XGBoost,XGBoost,유입량급증,1056,최근3시간변화량반영,31.20103219696969,29.872380176854854,4.258359184167885
1003110,충주댐,예측유입량포함,XGBoost,XGBoost,방류량변화,828,현재방류량유지,232.67039855072463,121.62797630282417,47.72520395356267
1003110,충주댐,예측유입량포함,XGBoost,XGBoost,방류량변화,828,최근3시간평균,156.95485909822864,121.62797630282417,22.507670675742187
1003110,충주댐,예측유입량포함,XGBoost,XGBoost,방류량변화,828,최근6시간평균,140.12335144927536,121.62797630282417,13.199352538428627
1003110,충주댐,예측유입량포함,XGBoost,XGBoost,방류량변화,828,최근3시간변화량반영,344.5727415458937,121.62797630282417,64.7017997543417
1006110,횡성댐,기본변수,GradientBoosting,XGBoost,전체,8760,현재방류량유지,0.20856198630136985,0.8281464432372854,-297.07448990278726
1006110,횡성댐,기본변수,GradientBoosting,XGBoost,전체,8760,최근3시간평균,0.2452250761035007,0.8281464432372854,-237.70871086925652
1006110,횡성댐,기본변수,GradientBoosting,XGBoost,전체,8760,최근6시간평균,0.2983392123287673,0.8281464432372854,-177.58551642372603
1006110,횡성댐,기본변수,GradientBoosting,XGBoost,전체,8760,최근3시간변화량반영,0.3395570776255708,0.8281464432372854,-143.89020220938568
1006110,횡성댐,기본변수,GradientBoosting,XGBoost,강우발생,698,현재방류량유지,0.7021031518624642,3.559997870626228,-407.0476982168
1006110,횡성댐,기본변수,GradientBoosting,XGBoost,강우발생,698,최근3시간평균,0.885184336198663,3.559997870626228,-302.1758773900461
1006110,횡성댐,기본변수,GradientBoosting,XGBoost,강우발생,698,최근6시간평균,1.0917504775549187,3.559997870626228,-226.08164079755562
1006110,횡성댐,기본변수,GradientBoosting,XGBoost,강우발생,698,최근3시간변화량반영,1.0789885386819484,3.559997870626228,-229.93843242996692
1006110,횡성댐,기본변수,GradientBoosting,XGBoost,최근24시간누적강우,2699,현재방류량유지,0.3337110040755835,1.730312055539961,-418.5061428624798
1006110,횡성댐,기본변수,GradientBoosting,XGBoost,최근24시간누적강우,2699,최근3시간평균,0.4059039150302582,1.730312055539961,-326.2861212883287
1006110,횡성댐,기본변수,GradientBoosting,XGBoost,최근24시간누적강우,2699,최근6시간평균,0.5249260219834507,1.730312055539961,-229.6296969622345
1006110,횡성댐,기본변수,GradientBoosting,XGBoost,최근24시간누적강우,2699,최근3시간변화량반영,0.5521144868469804,1.730312055539961,-213.39732913393385
